City,Link,Time,Temperature F,Temperature C
Abu Dhabi,https://www.timeanddate.com/weather/united-arab-emirates/abu-dhabi,2026-01-01 23:02:00,90,32.22222222222222
Accra,https://www.timeanddate.com/weather/ghana/accra,2026-01-01 19:02:00,82,27.77777777777778
Addis Ababa,https://www.timeanddate.com/weather/ethiopia/addis-ababa,2026-01-01 22:02:00,72,22.22222222222222
Algiers,https://www.timeanddate.com/weather/algeria/algiers,2026-01-01 20:02:00,75,23.88888888888889
Alofi,https://www.timeanddate.com/weather/niue/alofi,2026-01-01 08:02:00,75,23.88888888888889
Amman,https://www.timeanddate.com/weather/jordan/amman,2026-01-01 22:02:00,77,25.0
Amsterdam,https://www.timeanddate.com/weather/netherlands/amsterdam,2026-01-01 21:02:00,70,21.11111111111111
Ankara,https://www.timeanddate.com/weather/turkey/ankara,2026-01-01 22:02:00,70,21.11111111111111
Antananarivo,https://www.timeanddate.com/weather/madagascar/antananarivo,2026-01-01 22:02:00,55,12.777777777777779
Apia,https://www.timeanddate.com/weather/samoa/apia,2026-01-01 08:02:00,81,27.222222222222225
Ashgabat,https://www.timeanddate.com/weather/turkmenistan/ashgabat,2026-01-01 00:02:00,86,30.0
Astana,https://www.timeanddate.com/weather/kazakstan/astana,2026-01-01 00:02:00,66,18.88888888888889
Asuncion,https://www.timeanddate.com/weather/paraguay/asuncion,2026-01-01 16:02:00,64,17.77777777777778
Athens,https://www.timeanddate.com/weather/greece/athens,2026-01-01 22:02:00,80,26.666666666666668
Baghdad,https://www.timeanddate.com/weather/iraq/baghdad,2026-01-01 22:02:00,101,38.333333333333336
Baku,https://www.timeanddate.com/weather/azerbaijan/baku,2026-01-01 23:02:00,77,25.0
Bamako,https://www.timeanddate.com/weather/mali/bamako,2026-01-01 19:02:00,95,35.0
Bandar Seri Begawan,https://www.timeanddate.com/weather/brunei/bandar-seri-begawan,2026-01-01 03:02:00,77,25.0
Bangkok,https://www.timeanddate.com/weather/thailand/bangkok,2026-01-01 02:02:00,79,26.11111111111111
Bangui,https://www.timeanddate.com/weather/central-african-republic/bangui,2026-01-01 20:02:00,79,26.11111111111111
Banjul,https://www.timeanddate.com/weather/gambia/banjul,2026-01-01 19:02:00,88,31.111111111111114
Basseterre,https://www.timeanddate.com/weather/saint-kitts-and-nevis/basseterre,2026-01-01 15:02:00,86,30.0
Beijing,https://www.timeanddate.com/weather/china/beijing,2026-01-01 03:02:00,66,18.88888888888889
Beirut,https://www.timeanddate.com/weather/lebanon/beirut,2026-01-01 22:02:00,87,30.555555555555557
Belgrade,https://www.timeanddate.com/weather/serbia/belgrade,2026-01-01 21:02:00,70,21.11111111111111
Belmopan,https://www.timeanddate.com/weather/belize/belmopan,2026-01-01 13:02:00,87,30.555555555555557
Berlin,https://www.timeanddate.com/weather/germany/berlin,2026-01-01 21:02:00,70,21.11111111111111
Bern,https://www.timeanddate.com/weather/switzerland/bern,2026-01-01 21:02:00,73,22.77777777777778
Bishkek,https://www.timeanddate.com/weather/kyrgyzstan/bishkek,2026-01-01 01:02:00,76,24.444444444444446
Bissau,https://www.timeanddate.com/weather/guinea-bissau/bissau,2026-01-01 19:02:00,88,31.111111111111114
Bogota,https://www.timeanddate.com/weather/colombia/bogota,2026-01-01 14:02:00,64,17.77777777777778
Brades,https://www.timeanddate.com/weather/montserrat/brades,2026-01-01 15:02:00,86,30.0
Brasilia,https://www.timeanddate.com/weather/brazil/brasilia,2026-01-01 16:02:00,81,27.222222222222225
Bratislava,https://www.timeanddate.com/weather/slovakia/bratislava,2026-01-01 21:02:00,77,25.0
Brazzaville,https://www.timeanddate.com/weather/congo/brazzaville,2026-01-01 20:02:00,77,25.0
Bridgetown,https://www.timeanddate.com/weather/barbados/bridgetown,2026-01-01 15:02:00,86,30.0
Brussels,https://www.timeanddate.com/weather/belgium/brussels,2026-01-01 21:02:00,72,22.22222222222222
Bucharest,https://www.timeanddate.com/weather/romania/bucharest,2026-01-01 22:02:00,72,22.22222222222222
Budapest,https://www.timeanddate.com/weather/hungary/budapest,2026-01-01 21:02:00,77,25.0
Buenos Aires,https://www.timeanddate.com/weather/argentina/buenos-aires,2026-01-01 16:02:00,64,17.77777777777778
Cairo,https://www.timeanddate.com/weather/egypt/cairo,2026-01-01 22:02:00,84,28.88888888888889
Canberra,https://www.timeanddate.com/weather/australia/canberra,2026-01-01 05:02:00,48,8.88888888888889
Caracas,https://www.timeanddate.com/weather/venezuela/caracas,2026-01-01 15:02:00,84,28.88888888888889
Castries,https://www.timeanddate.com/weather/saint-lucia/castries,2026-01-01 15:02:00,84,28.88888888888889
Chișinău,https://www.timeanddate.com/weather/moldova/chisinau,2026-01-01 22:02:00,68,20.0
Conakry,https://www.timeanddate.com/weather/guinea/conakry,2026-01-01 19:02:00,86,30.0
Copenhagen,https://www.timeanddate.com/weather/denmark/copenhagen,2026-01-01 21:02:00,57,13.88888888888889
Dakar,https://www.timeanddate.com/weather/senegal/dakar,2026-01-01 19:02:00,81,27.222222222222225
Damascus,https://www.timeanddate.com/weather/syria/damascus,2026-01-01 22:02:00,81,27.222222222222225
Dhaka,https://www.timeanddate.com/weather/bangladesh/dhaka,2026-01-01 01:02:00,84,28.88888888888889
Dodoma,https://www.timeanddate.com/weather/tanzania/dodoma,2026-01-01 22:02:00,68,20.0
Doha,https://www.timeanddate.com/weather/qatar/doha,2026-01-01 22:02:00,97,36.111111111111114
Douglas,https://www.timeanddate.com/weather/isle-of-man/douglas,2026-01-01 20:02:00,57,13.88888888888889
Dublin,https://www.timeanddate.com/weather/ireland/dublin,2026-01-01 20:02:00,63,17.22222222222222
Dushanbe,https://www.timeanddate.com/weather/tajikistan/dushanbe,2026-01-01 00:02:00,82,27.77777777777778
Freetown,https://www.timeanddate.com/weather/sierra-leone/freetown,2026-01-01 19:02:00,86,30.0
Funafuti,https://www.timeanddate.com/weather/tuvalu/funafuti,2026-01-01 07:02:00,82,27.77777777777778
Gaborone,https://www.timeanddate.com/weather/botswana/gaborone,2026-01-01 21:02:00,64,17.77777777777778
George Town (Cayman Islands),https://www.timeanddate.com/weather/cayman-islands/george-town,2026-01-01 14:02:00,90,32.22222222222222
Georgetown (Guyana),https://www.timeanddate.com/weather/guyana/georgetown,2026-01-01 15:02:00,79,26.11111111111111
Gibraltar,https://www.timeanddate.com/weather/gibraltar/gibraltar,2026-01-01 21:02:00,73,22.77777777777778
Gizo,https://www.timeanddate.com/weather/solomon-islands/gizo,2026-01-01 06:02:00,78,25.555555555555557
Guatemala City,https://www.timeanddate.com/weather/guatemala/guatemala,2026-01-01 13:02:00,81,27.222222222222225
Hamilton,https://www.timeanddate.com/weather/bermuda/hamilton,2026-01-01 16:02:00,82,27.77777777777778
Hanoi,https://www.timeanddate.com/weather/vietnam/hanoi,2026-01-01 02:02:00,82,27.77777777777778
Harare,https://www.timeanddate.com/weather/zimbabwe/harare,2026-01-01 21:02:00,55,12.777777777777779
Havana,https://www.timeanddate.com/weather/cuba/havana,2026-01-01 15:02:00,90,32.22222222222222
Helsinki,https://www.timeanddate.com/weather/finland/helsinki,2026-01-01 22:02:00,64,17.77777777777778
Honiara,https://www.timeanddate.com/weather/solomon-islands/honiara,2026-01-01 06:02:00,75,23.88888888888889
Islamabad,https://www.timeanddate.com/weather/pakistan/islamabad,2026-01-01 00:02:00,90,32.22222222222222
Jakarta,https://www.timeanddate.com/weather/indonesia/jakarta,2026-01-01 02:02:00,81,27.222222222222225
Jerusalem,https://www.timeanddate.com/weather/israel/jerusalem,2026-01-01 22:02:00,72,22.22222222222222
Kampala,https://www.timeanddate.com/weather/uganda/kampala,2026-01-01 22:02:00,82,27.77777777777778
Kathmandu,https://www.timeanddate.com/weather/nepal/kathmandu,2026-01-01 00:47:00,73,22.77777777777778
Kigali,https://www.timeanddate.com/weather/rwanda/kigali,2026-01-01 21:02:00,73,22.77777777777778
Kingston,https://www.timeanddate.com/weather/jamaica/kingston,2026-01-01 14:02:00,90,32.22222222222222
Kingstown,https://www.timeanddate.com/weather/saint-vincent-and-grenadines/kingstown,2026-01-01 15:02:00,84,28.88888888888889
Kinshasa,https://www.timeanddate.com/weather/congo-demrep/kinshasa,2026-01-01 20:02:00,77,25.0
Kuala Lumpur,https://www.timeanddate.com/weather/malaysia/kuala-lumpur,2026-01-01 03:02:00,82,27.77777777777778
Kuwait City,https://www.timeanddate.com/weather/kuwait/kuwait-city,2026-01-01 22:02:00,101,38.333333333333336
