City,Link,Time,Temperature F,Temperature C,Longitude,Latitude
Abu Dhabi,https://www.timeanddate.com/weather/united-arab-emirates/abu-dhabi,2026-01-01 06:16:00,84,28.88888888888889,24.4538352,54.3774014
Accra,https://www.timeanddate.com/weather/ghana/accra,2026-01-01 02:16:00,79,26.11111111111111,5.5571096,-0.2012376
Addis Ababa,https://www.timeanddate.com/weather/ethiopia/addis-ababa,2026-01-01 05:16:00,59,15.0,9.0358119,38.7524315
Algiers,https://www.timeanddate.com/weather/algeria/algiers,2026-01-01 03:16:00,74,23.333333333333336,36.7729333,3.0588445
Alofi,https://www.timeanddate.com/weather/niue/alofi,2026-01-01 15:16:00,79,26.11111111111111,-19.0534159,-169.919199
Amman,https://www.timeanddate.com/weather/jordan/amman,2026-01-01 05:16:00,68,20.0,31.9515694,35.9239625
Amsterdam,https://www.timeanddate.com/weather/netherlands/amsterdam,2026-01-01 04:16:00,59,15.0,52.3730796,4.8924534
Ankara,https://www.timeanddate.com/weather/turkey/ankara,2026-01-01 05:16:00,54,12.222222222222223,39.9207759,32.8540497
Antananarivo,https://www.timeanddate.com/weather/madagascar/antananarivo,2026-01-01 05:16:00,52,11.11111111111111,-18.9100122,47.5255809
Apia,https://www.timeanddate.com/weather/samoa/apia,2026-01-01 15:16:00,86,30.0,-13.8345235,-171.7630955
Ashgabat,https://www.timeanddate.com/weather/turkmenistan/ashgabat,2026-01-01 07:16:00,81,27.222222222222225,37.9378322,58.2359467
Astana,https://www.timeanddate.com/weather/kazakstan/astana,2026-01-01 07:16:00,70,21.11111111111111,51.1159933,71.4677059
Asuncion,https://www.timeanddate.com/weather/paraguay/asuncion,2026-01-01 23:16:00,50,10.0,-25.2800459,-57.6343814
Athens,https://www.timeanddate.com/weather/greece/athens,2026-01-01 05:16:00,73,22.77777777777778,33.9597677,-83.376398
Baghdad,https://www.timeanddate.com/weather/iraq/baghdad,2026-01-01 05:16:00,84,28.88888888888889,33.3061701,44.3872213
Baku,https://www.timeanddate.com/weather/azerbaijan/baku,2026-01-01 06:16:00,70,21.11111111111111,40.3755885,49.8328009
Bamako,https://www.timeanddate.com/weather/mali/bamako,2026-01-01 02:16:00,79,26.11111111111111,12.6132656,-7.9847391
Bandar Seri Begawan,https://www.timeanddate.com/weather/brunei/bandar-seri-begawan,2026-01-01 10:16:00,84,28.88888888888889,4.8895453,114.9417574
Bangkok,https://www.timeanddate.com/weather/thailand/bangkok,2026-01-01 09:16:00,86,30.0,13.7524938,100.4935089
Bangui,https://www.timeanddate.com/weather/central-african-republic/bangui,2026-01-01 03:16:00,73,22.77777777777778,4.3635118,18.5835913
Banjul,https://www.timeanddate.com/weather/gambia/banjul,2026-01-01 02:16:00,79,26.11111111111111,13.45535,-16.575646
Basseterre,https://www.timeanddate.com/weather/saint-kitts-and-nevis/basseterre,2026-01-01 22:16:00,81,27.222222222222225,17.2960919,-62.722301
Beijing,https://www.timeanddate.com/weather/china/beijing,2026-01-01 10:16:00,74,23.333333333333336,39.9057136,116.3912972
Belgrade,https://www.timeanddate.com/weather/serbia/belgrade,2026-01-01 04:16:00,57,13.88888888888889,44.8153318,20.4456588
Belmopan,https://www.timeanddate.com/weather/belize/belmopan,2026-01-01 20:16:00,85,29.444444444444446,17.250199,-88.770018
Berlin,https://www.timeanddate.com/weather/germany/berlin,2026-01-01 04:16:00,52,11.11111111111111,52.5173885,13.3951309
Bern,https://www.timeanddate.com/weather/switzerland/bern,2026-01-01 04:16:00,55,12.777777777777779,46.9484742,7.4521749
